Apprehension Date,7_day_avg
2023-09-01,
2023-09-02,
2023-09-03,
2023-09-04,
2023-09-05,
2023-09-06,
2023-09-07,292.57142857142856
2023-09-08,295.0
2023-09-09,299.7142857142857
2023-09-10,297.2857142857143
2023-09-11,345.7142857142857
2023-09-12,345.14285714285717
2023-09-13,353.7142857142857
2023-09-14,349.7142857142857
2023-09-15,343.2857142857143
2023-09-16,336.57142857142856
2023-09-17,336.85714285714283
2023-09-18,334.85714285714283
2023-09-19,338.85714285714283
2023-09-20,343.42857142857144
2023-09-21,347.57142857142856
2023-09-22,364.85714285714283
2023-09-23,383.14285714285717
2023-09-24,390.14285714285717
2023-09-25,393.14285714285717
2023-09-26,422.0
2023-09-27,426.7142857142857
2023-09-28,441.7142857142857
2023-09-29,432.14285714285717
2023-09-30,414.42857142857144
2023-10-01,405.57142857142856
2023-10-02,394.14285714285717
2023-10-03,359.0
2023-10-04,347.2857142857143
2023-10-05,328.0
2023-10-06,325.2857142857143
2023-10-07,330.14285714285717
2023-10-08,337.2857142857143
2023-10-09,297.0
2023-10-10,299.42857142857144
2023-10-11,297.57142857142856
2023-10-12,300.42857142857144
2023-10-13,301.14285714285717
2023-10-14,303.2857142857143
2023-10-15,300.14285714285717
2023-10-16,336.0
2023-10-17,333.7142857142857
2023-10-18,345.42857142857144
2023-10-19,339.85714285714283
2023-10-20,340.14285714285717
2023-10-21,343.14285714285717
2023-10-22,340.42857142857144
2023-10-23,346.57142857142856
2023-10-24,353.42857142857144
2023-10-25,342.2857142857143
2023-10-26,349.57142857142856
2023-10-27,348.7142857142857
2023-10-28,335.0
2023-10-29,332.57142857142856
2023-10-30,329.57142857142856
2023-10-31,317.57142857142856
2023-11-01,316.0
2023-11-02,313.14285714285717
2023-11-03,304.7142857142857
2023-11-04,311.7142857142857
2023-11-05,311.7142857142857
2023-11-06,315.57142857142856
2023-11-07,326.14285714285717
2023-11-08,325.2857142857143
2023-11-09,330.85714285714283
2023-11-10,299.0
2023-11-11,291.7142857142857
2023-11-12,292.0
2023-11-13,288.2857142857143
2023-11-14,281.42857142857144
2023-11-15,288.14285714285717
2023-11-16,282.7142857142857
2023-11-17,320.7142857142857
2023-11-18,329.42857142857144
2023-11-19,328.57142857142856
2023-11-20,322.2857142857143
2023-11-21,315.0
2023-11-22,296.2857142857143
2023-11-23,241.0
2023-11-24,217.14285714285714
2023-11-25,205.71428571428572
2023-11-26,202.71428571428572
2023-11-27,202.0
2023-11-28,211.0
2023-11-29,222.85714285714286
2023-11-30,275.2857142857143
2023-12-01,299.85714285714283
2023-12-02,315.85714285714283
2023-12-03,318.2857142857143
2023-12-04,324.85714285714283
2023-12-05,335.57142857142856
2023-12-06,337.7142857142857
2023-12-07,333.2857142857143
2023-12-08,340.0
2023-12-09,343.7142857142857
2023-12-10,344.0
2023-12-11,347.42857142857144
2023-12-12,334.85714285714283
2023-12-13,333.0
2023-12-14,336.85714285714283
2023-12-15,328.85714285714283
2023-12-16,326.85714285714283
2023-12-17,337.0
2023-12-18,346.7142857142857
2023-12-19,360.7142857142857
2023-12-20,393.2857142857143
2023-12-21,403.7142857142857
2023-12-22,417.57142857142856
2023-12-23,428.85714285714283
2023-12-24,436.0
2023-12-25,392.2857142857143
2023-12-26,355.57142857142856
2023-12-27,307.85714285714283
2023-12-28,277.42857142857144
2023-12-29,245.71428571428572
2023-12-30,218.85714285714286
2023-12-31,199.28571428571428
2024-01-01,182.0
2024-01-02,185.85714285714286
2024-01-03,184.0
2024-01-04,197.42857142857142
2024-01-05,208.57142857142858
2024-01-06,215.85714285714286
2024-01-07,218.14285714285714
2024-01-08,260.85714285714283
2024-01-09,272.2857142857143
2024-01-10,287.42857142857144
2024-01-11,288.57142857142856
2024-01-12,290.85714285714283
2024-01-13,294.42857142857144
2024-01-14,297.57142857142856
2024-01-15,260.14285714285717
2024-01-16,251.85714285714286
2024-01-17,238.28571428571428
2024-01-18,246.85714285714286
2024-01-19,237.28571428571428
2024-01-20,232.85714285714286
2024-01-21,230.85714285714286
2024-01-22,261.0
2024-01-23,272.2857142857143
2024-01-24,287.42857142857144
2024-01-25,285.57142857142856
2024-01-26,297.14285714285717
2024-01-27,294.42857142857144
2024-01-28,293.42857142857144
2024-01-29,303.7142857142857
2024-01-30,309.2857142857143
2024-01-31,302.2857142857143
2024-02-01,326.57142857142856
2024-02-02,331.85714285714283
2024-02-03,337.14285714285717
2024-02-04,337.7142857142857
2024-02-05,345.0
2024-02-06,352.14285714285717
2024-02-07,355.42857142857144
2024-02-08,335.85714285714283
2024-02-09,335.57142857142856
2024-02-10,339.85714285714283
2024-02-11,341.14285714285717
2024-02-12,334.2857142857143
2024-02-13,324.57142857142856
2024-02-14,326.85714285714283
2024-02-15,323.2857142857143
2024-02-16,326.85714285714283
2024-02-17,316.2857142857143
2024-02-18,318.0
2024-02-19,278.85714285714283
2024-02-20,278.14285714285717
2024-02-21,274.2857142857143
2024-02-22,273.14285714285717
2024-02-23,276.2857142857143
2024-02-24,285.57142857142856
2024-02-25,284.42857142857144
2024-02-26,335.2857142857143
2024-02-27,343.57142857142856
2024-02-28,342.0
2024-02-29,344.14285714285717
2024-03-01,334.57142857142856
2024-03-02,327.14285714285717
2024-03-03,321.7142857142857
2024-03-04,308.85714285714283
2024-03-05,310.85714285714283
2024-03-06,325.57142857142856
2024-03-07,325.57142857142856
2024-03-08,325.57142857142856
2024-03-09,330.14285714285717
2024-03-10,333.42857142857144
2024-03-11,346.85714285714283
2024-03-12,347.57142857142856
2024-03-13,345.42857142857144
