Apprehension Date,7_day_avg
2023-09-01,
2023-09-02,
2023-09-03,
2023-09-04,
2023-09-05,
2023-09-06,
2023-09-07,16.285714285714285
2023-09-08,17.142857142857142
2023-09-09,18.0
2023-09-10,17.857142857142858
2023-09-11,20.571428571428573
2023-09-12,18.714285714285715
2023-09-13,16.428571428571427
2023-09-14,15.142857142857142
2023-09-15,14.714285714285714
2023-09-16,14.0
2023-09-17,14.428571428571429
2023-09-18,15.285714285714286
2023-09-19,18.0
2023-09-20,21.714285714285715
2023-09-21,23.571428571428573
2023-09-22,24.571428571428573
2023-09-23,28.428571428571427
2023-09-24,30.0
2023-09-25,31.428571428571427
2023-09-26,33.714285714285715
2023-09-27,34.857142857142854
2023-09-28,35.57142857142857
2023-09-29,34.857142857142854
2023-09-30,30.857142857142858
2023-10-01,29.142857142857142
2023-10-02,25.428571428571427
2023-10-03,19.142857142857142
2023-10-04,15.142857142857142
2023-10-05,11.714285714285714
2023-10-06,11.571428571428571
2023-10-07,13.142857142857142
2023-10-08,12.857142857142858
2023-10-10,13.142857142857142
2023-10-11,13.285714285714286
2023-10-12,12.571428571428571
2023-10-13,12.428571428571429
2023-10-14,11.0
2023-10-15,9.571428571428571
2023-10-16,11.285714285714286
2023-10-17,12.0
2023-10-18,18.285714285714285
2023-10-19,19.571428571428573
2023-10-20,19.0
2023-10-21,26.0
2023-10-22,25.142857142857142
2023-10-23,26.714285714285715
2023-10-24,27.571428571428573
2023-10-25,25.0
2023-10-26,24.428571428571427
2023-10-27,24.428571428571427
2023-10-28,17.428571428571427
2023-10-29,17.428571428571427
2023-10-30,16.285714285714285
2023-10-31,15.857142857142858
2023-11-01,14.428571428571429
2023-11-02,13.571428571428571
2023-11-03,13.857142857142858
2023-11-04,18.0
2023-11-05,18.428571428571427
2023-11-06,21.428571428571427
2023-11-07,21.571428571428573
2023-11-08,21.0
2023-11-09,20.571428571428573
2023-11-10,19.714285714285715
2023-11-11,16.857142857142858
2023-11-12,16.428571428571427
2023-11-13,13.571428571428571
2023-11-14,13.285714285714286
2023-11-15,14.714285714285714
2023-11-16,15.285714285714286
2023-11-17,15.428571428571429
2023-11-18,17.142857142857142
2023-11-20,21.428571428571427
2023-11-21,24.142857142857142
2023-11-22,22.714285714285715
2023-11-24,18.428571428571427
2023-11-27,17.428571428571427
2023-11-28,20.714285714285715
2023-11-29,20.714285714285715
2023-11-30,19.285714285714285
2023-12-01,15.571428571428571
2023-12-02,17.714285714285715
2023-12-03,17.571428571428573
2023-12-04,18.571428571428573
2023-12-05,21.0
2023-12-06,20.142857142857142
2023-12-07,20.285714285714285
2023-12-08,20.857142857142858
2023-12-09,18.285714285714285
2023-12-11,23.142857142857142
2023-12-12,23.0
2023-12-13,21.0
2023-12-14,22.428571428571427
2023-12-15,20.571428571428573
2023-12-16,24.714285714285715
2023-12-17,23.714285714285715
2023-12-18,23.428571428571427
2023-12-19,24.714285714285715
2023-12-20,29.0
2023-12-21,28.0
2023-12-22,28.0
2023-12-23,23.571428571428573
2023-12-24,23.428571428571427
2023-12-25,18.857142857142858
2023-12-26,16.142857142857142
2023-12-27,11.571428571428571
2023-12-28,11.285714285714286
2023-12-29,11.142857142857142
2023-12-31,9.571428571428571
2024-01-01,9.428571428571429
2024-01-02,10.714285714285714
2024-01-03,11.142857142857142
2024-01-04,10.142857142857142
2024-01-05,8.857142857142858
2024-01-06,12.285714285714286
2024-01-07,12.285714285714286
2024-01-08,14.285714285714286
2024-01-09,17.0
2024-01-10,18.0
2024-01-11,16.571428571428573
2024-01-12,17.428571428571427
2024-01-13,13.142857142857142
2024-01-14,13.285714285714286
2024-01-15,11.714285714285714
2024-01-16,9.0
2024-01-17,10.0
2024-01-18,11.571428571428571
2024-01-19,10.0
2024-01-20,13.714285714285714
2024-01-21,13.571428571428571
2024-01-22,15.428571428571429
2024-01-23,16.0
2024-01-24,15.428571428571429
2024-01-25,15.714285714285714
2024-01-26,16.428571428571427
2024-01-27,12.714285714285714
2024-01-28,12.857142857142858
2024-01-29,11.857142857142858
2024-01-30,16.714285714285715
2024-01-31,15.571428571428571
2024-02-01,14.142857142857142
2024-02-02,15.0
2024-02-03,19.714285714285715
2024-02-04,19.571428571428573
2024-02-05,19.285714285714285
2024-02-06,17.142857142857142
2024-02-07,18.571428571428573
2024-02-08,19.857142857142858
2024-02-09,19.571428571428573
2024-02-10,15.714285714285714
2024-02-12,17.285714285714285
2024-02-13,17.428571428571427
2024-02-14,15.285714285714286
2024-02-15,14.571428571428571
2024-02-16,12.285714285714286
2024-02-17,10.714285714285714
2024-02-18,9.714285714285714
2024-02-20,10.857142857142858
2024-02-21,11.857142857142858
2024-02-22,11.714285714285714
2024-02-23,9.714285714285714
2024-02-24,11.428571428571429
2024-02-26,13.428571428571429
2024-02-27,17.142857142857142
2024-02-28,17.0
2024-02-29,17.0
2024-03-01,15.285714285714286
2024-03-02,14.857142857142858
2024-03-03,12.285714285714286
2024-03-04,13.285714285714286
2024-03-05,12.0
2024-03-06,12.714285714285714
2024-03-07,12.857142857142858
2024-03-08,13.571428571428571
2024-03-09,17.714285714285715
2024-03-10,18.142857142857142
2024-03-11,15.714285714285714
2024-03-12,14.857142857142858
2024-03-13,14.428571428571429
2024-03-14,14.571428571428571
2024-03-15,14.571428571428571
2024-03-16,10.428571428571429
2024-03-17,10.714285714285714
2024-03-18,15.0
2024-03-19,15.571428571428571
2024-03-20,16.571428571428573
2024-03-21,17.857142857142858
2024-03-22,19.142857142857142
2024-03-23,22.714285714285715
